,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-20
Isla de Pascua,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Juan Fernández,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Calera,3,1,1,2,7,5,2,9,3,3,5,5,8,6,2,6,3,3,2,5,5,10,0,0,6,5,6,3,0,9,0,6,9,3,5,11,5,1,20,6,14,0,2,6,4,9,8,20,22,14,10,5,18,20,21,14,22,19,20,35,17,20,15,21,26,1,11,30,14,33,11,11,22,11,25,13,11,10,9,14,17,5,24,15,14,6,6,20,10,11,7,18,12,9,9,0,14,5,9,10,8,6,6,0,7,0,1,9,12,8,4,16,8,1,15,4,15,0,2,8,7,0,17,9,30,16,6,5,14,18,8,13,14,8,7,9,13,0,11,23,12,1,7,11,0,17,12,5,6,7,12,5,5,5,3,3,8,6,12,3,2,3,1,2,0,1,1,1,5,0,0,4,2,3,0,2,0,5,1,4,2,1,0,2,2,3,3,4,1,0,3,7,4,2,0,0,1,2,0,1,1,9,1,0,0,0,2,2,1,1,0,1,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,2
La Cruz,2,3,1,3,4,1,0,2,1,0,1,4,1,4,1,0,1,1,1,2,6,0,1,0,1,0,1,5,1,1,2,2,8,1,0,0,4,0,1,5,6,7,6,2,4,5,6,3,10,2,1,6,7,7,4,16,4,7,8,8,10,8,3,5,12,1,4,4,6,6,2,3,7,2,7,8,11,5,3,5,6,5,3,9,3,0,3,1,4,5,1,0,2,4,3,6,4,3,5,3,3,5,2,3,8,5,2,5,5,0,10,8,0,1,4,10,8,7,8,5,1,0,9,2,8,5,4,1,3,11,5,4,9,4,4,5,12,5,1,15,1,1,4,3,2,11,6,4,1,3,1,5,1,6,1,1,2,4,0,8,10,4,0,2,3,1,5,3,1,1,1,3,4,2,7,1,0,0,4,1,1,1,0,0,0,2,2,0,2,0,0,0,3,1,0,2,0,0,0,1,1,3,0,0,0,0,1,3,0,2,1,0,1,1,1,0,0,0,0,0,1,0,3,0,2,0,0,0
La Ligua,3,0,3,8,8,2,4,2,5,1,10,2,4,7,3,2,2,7,13,14,5,5,0,0,23,4,5,5,6,3,0,7,5,5,2,2,0,2,8,8,7,0,5,2,6,5,5,5,1,13,1,5,11,9,13,9,8,1,7,10,6,10,4,1,6,4,6,8,9,9,11,3,3,6,11,4,9,10,5,5,6,5,3,4,3,1,0,3,2,2,3,5,0,1,5,4,4,3,5,4,4,0,10,14,9,1,6,2,5,21,9,9,2,5,7,8,30,3,14,14,6,4,9,11,5,14,5,3,6,10,12,19,15,7,7,8,18,12,12,9,11,4,0,16,9,5,13,9,4,2,10,11,7,5,6,3,8,5,6,8,9,2,4,1,11,11,7,2,1,3,5,8,1,5,3,1,4,5,1,8,4,2,0,0,0,1,4,2,3,0,0,1,3,1,3,2,0,0,1,4,0,0,0,0,0,1,0,2,0,0,0,0,4,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0
Limache,3,3,2,4,3,3,8,1,1,2,4,9,2,7,1,2,6,1,5,0,7,1,0,4,1,5,5,6,1,1,4,1,8,11,7,2,4,11,1,19,20,11,2,3,17,1,12,18,26,8,13,11,17,16,18,12,9,2,5,20,23,11,14,9,4,6,6,12,18,10,14,7,8,10,5,12,14,10,5,4,12,7,18,8,12,6,6,4,9,6,9,8,4,6,9,9,32,10,4,2,4,13,12,15,10,6,4,3,7,10,17,5,7,5,10,10,15,13,15,9,8,8,4,24,9,10,6,14,14,3,9,10,11,8,10,8,11,11,24,3,7,4,6,5,7,2,7,5,1,3,7,10,7,5,0,0,2,2,7,6,4,2,1,2,3,1,4,2,0,1,2,4,4,1,2,2,1,2,2,5,3,7,3,3,7,3,2,0,3,2,1,3,1,0,3,3,1,0,0,1,2,4,2,0,0,0,1,0,0,0,1,1,0,1,3,0,0,0,0,3,1,1,1,3,3,0,0,0
Llay-Llay,1,2,0,0,0,0,0,0,2,0,0,1,2,1,3,2,3,1,1,3,0,4,1,1,1,3,4,0,5,1,2,2,8,4,4,6,5,5,8,4,3,0,0,4,6,4,11,3,13,9,6,2,6,8,2,8,8,1,3,12,7,7,10,29,5,1,4,10,11,9,19,5,2,5,11,4,11,7,4,0,4,7,6,10,7,2,1,7,6,5,5,3,0,3,2,10,8,7,3,6,2,6,8,3,5,5,1,1,0,3,4,6,2,5,5,3,6,14,17,6,9,3,0,15,4,9,2,6,12,9,13,8,25,8,13,21,13,16,2,28,19,11,5,7,12,18,18,19,6,9,5,13,10,9,8,4,6,19,4,8,5,13,7,1,1,5,3,8,4,1,2,15,1,2,5,3,1,0,1,3,1,1,1,0,2,2,0,0,0,2,0,0,3,3,6,1,0,0,3,3,0,1,3,1,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Los Andes,8,0,2,7,14,10,6,7,10,7,14,8,6,9,7,6,2,9,18,18,8,8,2,2,11,9,70,13,7,4,5,16,13,12,19,13,4,4,9,18,11,6,8,5,5,7,18,19,13,7,10,11,19,17,10,21,20,11,8,36,39,27,31,14,13,16,21,41,20,24,25,15,12,24,31,21,24,31,12,12,28,34,20,20,29,10,6,29,18,18,30,14,8,10,48,23,16,18,13,9,5,28,15,23,26,16,8,9,23,28,25,20,14,20,25,48,47,41,50,50,7,20,39,54,34,52,56,32,33,57,54,49,54,30,21,21,34,40,26,36,27,20,12,7,36,20,16,24,11,10,6,16,14,20,20,12,13,13,17,10,19,11,4,7,9,2,4,9,2,2,3,4,4,2,6,1,2,2,4,4,5,3,3,3,1,5,2,0,0,1,1,0,4,6,2,10,4,3,1,10,8,3,3,3,2,1,4,2,2,7,0,1,3,0,1,1,0,0,0,0,1,2,0,0,0,2,3,0
Nogales,3,3,0,4,1,5,0,6,1,4,2,2,5,1,1,3,0,7,2,0,4,1,3,0,6,3,1,3,5,1,1,7,5,2,5,2,8,0,3,7,8,2,4,6,3,15,2,18,7,10,2,4,5,4,16,5,11,4,3,11,12,5,6,12,0,0,8,16,15,5,9,11,6,1,10,12,5,5,7,4,11,4,7,2,1,1,4,6,5,7,4,2,5,0,6,2,10,3,9,4,1,4,2,3,2,0,5,1,10,2,0,3,5,1,3,8,4,8,5,7,2,7,4,0,10,8,3,6,8,8,13,11,13,4,8,1,1,13,3,13,8,6,0,4,4,9,11,9,1,2,1,5,7,2,6,7,2,0,2,6,0,2,0,0,0,4,3,0,0,2,1,1,0,6,5,0,0,1,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Olmué,4,0,3,1,0,1,0,2,2,1,1,1,1,6,1,2,4,0,4,3,3,0,0,3,1,4,3,0,2,0,0,2,4,2,3,0,5,0,1,4,1,6,3,2,0,9,2,3,12,1,7,1,11,7,12,12,4,3,1,1,9,9,9,2,0,6,5,4,3,17,0,0,2,4,10,6,7,2,0,3,2,5,11,2,5,1,11,4,0,4,4,6,3,13,5,5,14,9,4,0,3,0,9,4,5,1,10,1,3,2,25,2,10,4,5,2,2,2,20,1,5,5,2,6,4,11,13,0,0,8,4,9,10,1,2,3,8,11,4,6,9,2,1,2,1,11,5,2,0,0,3,3,4,2,1,1,2,1,11,2,1,4,1,0,3,1,4,0,0,0,2,0,4,2,5,2,0,0,7,1,2,2,0,2,1,1,16,0,3,1,0,1,0,3,1,1,1,5,0,2,2,0,1,1,0,1,4,2,0,8,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0
Panquehue,0,1,0,1,0,4,1,1,0,2,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,0,1,0,1,0,1,2,0,1,0,1,2,0,0,0,2,0,1,0,0,3,0,1,2,0,2,2,0,2,5,3,8,4,2,1,0,4,5,1,6,3,3,0,2,2,7,1,2,2,0,0,1,6,1,0,2,0,0,0,0,2,0,0,0,3,0,4,2,1,1,2,2,1,3,3,1,2,4,5,3,2,0,4,2,1,4,2,4,3,4,1,2,1,5,2,5,1,0,3,2,0,2,2,0,1,5,3,2,2,3,0,3,0,3,0,2,2,0,0,0,0,1,0,4,2,0,0,1,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,4,0,0,0,0,2,0,0,0
Papudo,0,0,2,0,0,0,1,0,0,1,1,1,0,1,1,1,3,4,0,0,1,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,3,0,1,1,2,2,1,3,2,8,0,7,3,8,1,1,1,6,8,2,4,3,7,0,4,3,3,1,3,4,2,1,1,1,3,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,5,0,1,0,0,0,0,3,0,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,2,2,0,1,1,2,0,0,0,3,0,0,0,1,0,1,4,1,2,0,0,1,1,0,2,2,0,1,0,3,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Petorca,1,0,0,4,0,0,1,0,0,0,0,0,0,2,0,1,1,0,6,1,1,0,0,0,5,9,1,4,2,1,1,0,0,5,2,6,0,2,0,4,2,3,1,0,0,4,2,2,3,4,0,0,1,0,3,0,1,0,1,2,0,2,2,0,1,0,1,4,3,3,2,2,0,4,5,1,1,3,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,3,0,0,2,0,1,1,6,0,0,1,0,7,4,4,1,1,0,4,3,3,2,1,3,2,4,2,0,6,4,0,4,8,2,4,4,1,1,1,1,0,11,0,6,0,0,1,6,5,7,3,3,1,0,9,5,1,3,2,1,8,1,4,5,0,0,0,1,3,4,4,4,0,1,6,5,2,1,2,0,1,0,3,1,1,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
